자치구명,시간대,국적,분류,생활인구밀도
강남구,00-06시,외국인,TEMP,387.8116742188313
강남구,06-12시,외국인,TEMP,379.35698175018786
강남구,12-18시,외국인,TEMP,398.69729122940873
강남구,18-24시,외국인,TEMP,400.4682266158026
강동구,00-06시,외국인,TEMP,72.8940483658019
강동구,06-12시,외국인,TEMP,72.65400369344928
강동구,12-18시,외국인,TEMP,69.84533803138596
강동구,18-24시,외국인,TEMP,71.11575004688768
강북구,00-06시,외국인,TEMP,43.47028546165158
강북구,06-12시,외국인,TEMP,42.691076919356085
강북구,12-18시,외국인,TEMP,40.44309871140004
강북구,18-24시,외국인,TEMP,41.656967372881354
강서구,00-06시,외국인,TEMP,109.57797434660233
강서구,06-12시,외국인,TEMP,117.42315718448259
강서구,12-18시,외국인,TEMP,116.99237281645375
강서구,18-24시,외국인,TEMP,110.34176656476691
관악구,00-06시,외국인,TEMP,95.98094809005177
관악구,06-12시,외국인,TEMP,94.64095700473916
관악구,12-18시,외국인,TEMP,90.8524668899585
관악구,18-24시,외국인,TEMP,93.06729002305495
광진구,00-06시,외국인,TEMP,191.3942834690349
광진구,06-12시,외국인,TEMP,186.8181438784414
광진구,12-18시,외국인,TEMP,187.17280830215145
광진구,18-24시,외국인,TEMP,195.39397803080186
구로구,00-06시,외국인,TEMP,266.4914969656944
구로구,06-12시,외국인,TEMP,253.228466164202
구로구,12-18시,외국인,TEMP,242.27303838158264
구로구,18-24시,외국인,TEMP,260.3353016989388
금천구,00-06시,외국인,TEMP,153.93488670047486
금천구,06-12시,외국인,TEMP,154.72341031710963
금천구,12-18시,외국인,TEMP,155.34652212963547
금천구,18-24시,외국인,TEMP,154.17790951398973
노원구,00-06시,외국인,TEMP,33.8009780115856
노원구,06-12시,외국인,TEMP,33.31232520718019
노원구,12-18시,외국인,TEMP,32.37161992614696
노원구,18-24시,외국인,TEMP,32.86954431182164
도봉구,00-06시,외국인,TEMP,36.658613134764
도봉구,06-12시,외국인,TEMP,35.93387760788086
도봉구,12-18시,외국인,TEMP,33.48960648777737
도봉구,18-24시,외국인,TEMP,35.28108081196723
동대문구,00-06시,외국인,TEMP,325.672027634883
동대문구,06-12시,외국인,TEMP,320.47886674822905
동대문구,12-18시,외국인,TEMP,305.38682446101376
동대문구,18-24시,외국인,TEMP,309.51360598295537
동작구,00-06시,외국인,TEMP,178.251632272164
동작구,06-12시,외국인,TEMP,176.27477812573264
동작구,12-18시,외국인,TEMP,173.88175053588773
동작구,18-24시,외국인,TEMP,177.31448855377297
마포구,00-06시,외국인,TEMP,484.02403772627633
마포구,06-12시,외국인,TEMP,450.44974160228975
마포구,12-18시,외국인,TEMP,410.43305878253534
마포구,18-24시,외국인,TEMP,483.6724032700574
서대문구,00-06시,외국인,TEMP,504.48478790044993
서대문구,06-12시,외국인,TEMP,486.41858689914716
서대문구,12-18시,외국인,TEMP,431.30426212065885
서대문구,18-24시,외국인,TEMP,442.6984699725717
서초구,00-06시,외국인,TEMP,131.5899913283812
서초구,06-12시,외국인,TEMP,130.15327444118125
서초구,12-18시,외국인,TEMP,133.83956488791543
서초구,18-24시,외국인,TEMP,135.39739991911674
성동구,00-06시,외국인,TEMP,182.48497068884072
성동구,06-12시,외국인,TEMP,186.9442878884129
성동구,12-18시,외국인,TEMP,210.36831912161537
성동구,18-24시,외국인,TEMP,194.40263827580776
성북구,00-06시,외국인,TEMP,134.37033653785423
성북구,06-12시,외국인,TEMP,136.22528718451724
성북구,12-18시,외국인,TEMP,130.28984773417153
성북구,18-24시,외국인,TEMP,132.16838126925035
송파구,00-06시,외국인,TEMP,138.05939047295584
송파구,06-12시,외국인,TEMP,138.15087590232517
송파구,12-18시,외국인,TEMP,163.92902734874093
송파구,18-24시,외국인,TEMP,158.52866751845085
양천구,00-06시,외국인,TEMP,80.03324800211918
양천구,06-12시,외국인,TEMP,80.1618881055605
양천구,12-18시,외국인,TEMP,78.4940031735291
양천구,18-24시,외국인,TEMP,79.69310086052471
영등포구,00-06시,외국인,TEMP,264.1052079439035
영등포구,06-12시,외국인,TEMP,257.8458357968548
영등포구,12-18시,외국인,TEMP,264.1676559495578
영등포구,18-24시,외국인,TEMP,272.4137306289466
용산구,00-06시,외국인,TEMP,271.6122143133042
용산구,06-12시,외국인,TEMP,256.57412866606956
용산구,12-18시,외국인,TEMP,257.2203379976741
용산구,18-24시,외국인,TEMP,271.8040799744443
은평구,00-06시,외국인,TEMP,48.529686806557756
은평구,06-12시,외국인,TEMP,48.19974160568909
은평구,12-18시,외국인,TEMP,45.16032182789799
은평구,18-24시,외국인,TEMP,46.31959290031953
종로구,00-06시,외국인,TEMP,321.99325077297095
종로구,06-12시,외국인,TEMP,331.38341057313477
종로구,12-18시,외국인,TEMP,386.9141084126357
종로구,18-24시,외국인,TEMP,326.3431080574223
중구,00-06시,외국인,TEMP,2138.270502879096
중구,06-12시,외국인,TEMP,1979.5308719077218
중구,12-18시,외국인,TEMP,1767.905195077112
중구,18-24시,외국인,TEMP,2009.199241633199
중랑구,00-06시,외국인,TEMP,49.34457805504134
중랑구,06-12시,외국인,TEMP,48.34017675922498
중랑구,12-18시,외국인,TEMP,45.866667851413055
중랑구,18-24시,외국인,TEMP,47.36023779094163
강남구,00-06시,외국인,LONG,336.8134788532455
강남구,06-12시,외국인,LONG,524.4871861464655
강남구,12-18시,외국인,LONG,646.9738127194959
강남구,18-24시,외국인,LONG,454.0758521114387
강동구,00-06시,외국인,LONG,361.42691792706324
강동구,06-12시,외국인,LONG,357.3825783339926
강동구,12-18시,외국인,LONG,336.206500819838
강동구,18-24시,외국인,LONG,346.95755334332364
강북구,00-06시,외국인,LONG,228.60625742396098
강북구,06-12시,외국인,LONG,209.97984566403528
강북구,12-18시,외국인,LONG,188.72057843433169
강북구,18-24시,외국인,LONG,208.4370282969584
강서구,00-06시,외국인,LONG,214.63701797291117
강서구,06-12시,외국인,LONG,227.84580518862467
강서구,12-18시,외국인,LONG,219.76933651040198
강서구,18-24시,외국인,LONG,210.96766437529948
관악구,00-06시,외국인,LONG,764.6086311916773
관악구,06-12시,외국인,LONG,662.4982750767083
관악구,12-18시,외국인,LONG,599.9877360539112
관악구,18-24시,외국인,LONG,709.6799282470356
광진구,00-06시,외국인,LONG,1349.724506442478
광진구,06-12시,외국인,LONG,1217.7220657336184
광진구,12-18시,외국인,LONG,1148.1276982821844
광진구,18-24시,외국인,LONG,1291.4829445015446
구로구,00-06시,외국인,LONG,1745.1843099553364
구로구,06-12시,외국인,LONG,1369.189072995815
구로구,12-18시,외국인,LONG,1412.0128575419628
구로구,18-24시,외국인,LONG,1739.5956067930317
금천구,00-06시,외국인,LONG,1354.5499016160595
금천구,06-12시,외국인,LONG,1164.30915569654
금천구,12-18시,외국인,LONG,1219.2281720465178
금천구,18-24시,외국인,LONG,1346.6153729071539
노원구,00-06시,외국인,LONG,154.85771812929696
노원구,06-12시,외국인,LONG,158.34032800823567
노원구,12-18시,외국인,LONG,151.93951502185186
노원구,18-24시,외국인,LONG,147.1631466920746
도봉구,00-06시,외국인,LONG,138.1446248720245
도봉구,06-12시,외국인,LONG,137.36391564120424
도봉구,12-18시,외국인,LONG,126.64896938096344
도봉구,18-24시,외국인,LONG,131.8824368370427
동대문구,00-06시,외국인,LONG,1889.6970439280965
동대문구,06-12시,외국인,LONG,1839.6254136401878
동대문구,12-18시,외국인,LONG,1654.8975283252732
동대문구,18-24시,외국인,LONG,1712.1269962718916
동작구,00-06시,외국인,LONG,930.3807852681114
동작구,06-12시,외국인,LONG,891.3807117035648
동작구,12-18시,외국인,LONG,838.1717604302733
동작구,18-24시,외국인,LONG,868.0172560706033
마포구,00-06시,외국인,LONG,816.7544375788557
마포구,06-12시,외국인,LONG,824.0262089524518
마포구,12-18시,외국인,LONG,860.4577947024304
마포구,18-24시,외국인,LONG,870.9319816126284
서대문구,00-06시,외국인,LONG,1169.5586783269491
서대문구,06-12시,외국인,LONG,1184.441929735274
서대문구,12-18시,외국인,LONG,1118.0406904793356
서대문구,18-24시,외국인,LONG,1105.1444440775247
서초구,00-06시,외국인,LONG,200.64288980044583
서초구,06-12시,외국인,LONG,292.4734570973603
서초구,12-18시,외국인,LONG,341.1244603288022
서초구,18-24시,외국인,LONG,257.8313449768287
성동구,00-06시,외국인,LONG,927.0210715092381
성동구,06-12시,외국인,LONG,956.2158262559793
성동구,12-18시,외국인,LONG,976.3257847745942
성동구,18-24시,외국인,LONG,944.1633847697077
성북구,00-06시,외국인,LONG,625.0706662598319
성북구,06-12시,외국인,LONG,636.0197215949412
성북구,12-18시,외국인,LONG,598.9767696701851
성북구,18-24시,외국인,LONG,600.3768004633088
송파구,00-06시,외국인,LONG,366.65117351867724
송파구,06-12시,외국인,LONG,390.0043970796741
송파구,12-18시,외국인,LONG,416.2901164356606
송파구,18-24시,외국인,LONG,395.63779699368706
양천구,00-06시,외국인,LONG,277.56004942312586
양천구,06-12시,외국인,LONG,281.5865462613992
양천구,12-18시,외국인,LONG,285.482053818857
양천구,18-24시,외국인,LONG,279.7297383858015
영등포구,00-06시,외국인,LONG,1739.4884449199753
영등포구,06-12시,외국인,LONG,1453.1910921035255
영등포구,12-18시,외국인,LONG,1550.7538431492899
영등포구,18-24시,외국인,LONG,1785.5008864120377
용산구,00-06시,외국인,LONG,786.8837849872534
용산구,06-12시,외국인,LONG,769.5806657375567
용산구,12-18시,외국인,LONG,784.7020173273786
용산구,18-24시,외국인,LONG,809.1928870870419
은평구,00-06시,외국인,LONG,199.5535658642371
은평구,06-12시,외국인,LONG,196.7269828217672
은평구,12-18시,외국인,LONG,175.74660211265984
은평구,18-24시,외국인,LONG,186.9964016113142
종로구,00-06시,외국인,LONG,635.3830242041598
종로구,06-12시,외국인,LONG,693.3976494082641
종로구,12-18시,외국인,LONG,766.4297143893864
종로구,18-24시,외국인,LONG,675.0692034837643
중구,00-06시,외국인,LONG,1593.63992418991
중구,06-12시,외국인,LONG,1832.7339350415357
중구,12-18시,외국인,LONG,2220.179057568172
중구,18-24시,외국인,LONG,1858.2936520602962
중랑구,00-06시,외국인,LONG,344.9779704973467
중랑구,06-12시,외국인,LONG,307.3474589830927
중랑구,12-18시,외국인,LONG,280.4924825990374
중랑구,18-24시,외국인,LONG,322.88259010736766
