자치구명,범죄대분류,범죄중분류,발생건수
종로구,강력범죄,살인기수,2
종로구,강력범죄,살인미수등,1
종로구,강력범죄,강도,5
종로구,강력범죄,강간,25
종로구,강력범죄,유사강간,10
종로구,강력범죄,강제추행,204
종로구,강력범죄,기타 강간 강제추행등,0
종로구,강력범죄,방화,4
종로구,절도범죄,절도범죄,1173
종로구,폭력범죄,상해,127
종로구,폭력범죄,폭행,905
종로구,폭력범죄,체포감금,6
종로구,폭력범죄,협박,116
종로구,폭력범죄,약취 유인,2
종로구,폭력범죄,폭력행위등,32
종로구,폭력범죄,공갈,37
종로구,폭력범죄,손괴,332
종로구,지능범죄,직무유기,28
종로구,지능범죄,직권남용,27
종로구,지능범죄,증수뢰,6
종로구,지능범죄,통화,9
종로구,지능범죄,문서 인장,63
종로구,지능범죄,유가증권인지,0
종로구,지능범죄,사기,2032
종로구,지능범죄,횡령,815
종로구,지능범죄,배임,31
종로구,풍속범죄,성풍속범죄,123
종로구,풍속범죄,도박범죄,19
종로구,특별경제범죄,특별경제범죄,523
종로구,마약범죄,마약범죄,100
종로구,보건범죄,보건범죄,119
종로구,환경범죄,환경범죄,1
종로구,교통범죄,교통범죄,657
종로구,노동범죄,노동범죄,4
종로구,안보범죄,안보범죄,11
종로구,선거범죄,선거범죄,2
종로구,병역범죄,병역범죄,22
종로구,기타범죄,기타범죄,1650
중구,강력범죄,살인기수,0
중구,강력범죄,살인미수등,3
중구,강력범죄,강도,6
중구,강력범죄,강간,30
중구,강력범죄,유사강간,4
중구,강력범죄,강제추행,182
중구,강력범죄,기타 강간 강제추행등,0
중구,강력범죄,방화,13
중구,절도범죄,절도범죄,1523
중구,폭력범죄,상해,127
중구,폭력범죄,폭행,1001
중구,폭력범죄,체포감금,8
중구,폭력범죄,협박,131
중구,폭력범죄,약취 유인,4
중구,폭력범죄,폭력행위등,40
중구,폭력범죄,공갈,24
중구,폭력범죄,손괴,286
중구,지능범죄,직무유기,18
중구,지능범죄,직권남용,22
중구,지능범죄,증수뢰,0
중구,지능범죄,통화,59
중구,지능범죄,문서 인장,62
중구,지능범죄,유가증권인지,2
중구,지능범죄,사기,2094
중구,지능범죄,횡령,794
중구,지능범죄,배임,31
중구,풍속범죄,성풍속범죄,108
중구,풍속범죄,도박범죄,21
중구,특별경제범죄,특별경제범죄,727
중구,마약범죄,마약범죄,73
중구,보건범죄,보건범죄,108
중구,환경범죄,환경범죄,0
중구,교통범죄,교통범죄,652
중구,노동범죄,노동범죄,3
중구,안보범죄,안보범죄,4
중구,선거범죄,선거범죄,3
중구,병역범죄,병역범죄,18
중구,기타범죄,기타범죄,1612
용산구,강력범죄,살인기수,1
용산구,강력범죄,살인미수등,2
용산구,강력범죄,강도,3
용산구,강력범죄,강간,45
용산구,강력범죄,유사강간,4
용산구,강력범죄,강제추행,195
용산구,강력범죄,기타 강간 강제추행등,0
용산구,강력범죄,방화,16
용산구,절도범죄,절도범죄,971
용산구,폭력범죄,상해,107
용산구,폭력범죄,폭행,1018
용산구,폭력범죄,체포감금,7
용산구,폭력범죄,협박,140
용산구,폭력범죄,약취 유인,0
용산구,폭력범죄,폭력행위등,35
용산구,폭력범죄,공갈,50
용산구,폭력범죄,손괴,415
용산구,지능범죄,직무유기,7
용산구,지능범죄,직권남용,13
용산구,지능범죄,증수뢰,2
용산구,지능범죄,통화,11
용산구,지능범죄,문서 인장,43
용산구,지능범죄,유가증권인지,0
용산구,지능범죄,사기,1643
용산구,지능범죄,횡령,492
용산구,지능범죄,배임,21
용산구,풍속범죄,성풍속범죄,127
용산구,풍속범죄,도박범죄,10
용산구,특별경제범죄,특별경제범죄,431
용산구,마약범죄,마약범죄,200
용산구,보건범죄,보건범죄,102
용산구,환경범죄,환경범죄,1
용산구,교통범죄,교통범죄,1076
용산구,노동범죄,노동범죄,4
용산구,안보범죄,안보범죄,3
용산구,선거범죄,선거범죄,0
용산구,병역범죄,병역범죄,30
용산구,기타범죄,기타범죄,1817
성동구,강력범죄,살인기수,1
성동구,강력범죄,살인미수등,1
성동구,강력범죄,강도,2
성동구,강력범죄,강간,22
성동구,강력범죄,유사강간,6
성동구,강력범죄,강제추행,92
성동구,강력범죄,기타 강간 강제추행등,0
성동구,강력범죄,방화,4
성동구,절도범죄,절도범죄,891
성동구,폭력범죄,상해,79
성동구,폭력범죄,폭행,548
성동구,폭력범죄,체포감금,4
성동구,폭력범죄,협박,114
성동구,폭력범죄,약취 유인,3
성동구,폭력범죄,폭력행위등,12
성동구,폭력범죄,공갈,34
성동구,폭력범죄,손괴,211
성동구,지능범죄,직무유기,5
성동구,지능범죄,직권남용,17
성동구,지능범죄,증수뢰,3
성동구,지능범죄,통화,7
성동구,지능범죄,문서 인장,53
성동구,지능범죄,유가증권인지,0
성동구,지능범죄,사기,1829
성동구,지능범죄,횡령,539
성동구,지능범죄,배임,30
성동구,풍속범죄,성풍속범죄,131
성동구,풍속범죄,도박범죄,21
성동구,특별경제범죄,특별경제범죄,320
성동구,마약범죄,마약범죄,95
성동구,보건범죄,보건범죄,29
성동구,환경범죄,환경범죄,1
성동구,교통범죄,교통범죄,935
성동구,노동범죄,노동범죄,3
성동구,안보범죄,안보범죄,1
성동구,선거범죄,선거범죄,2
성동구,병역범죄,병역범죄,39
성동구,기타범죄,기타범죄,1283
광진구,강력범죄,살인기수,0
광진구,강력범죄,살인미수등,2
광진구,강력범죄,강도,5
광진구,강력범죄,강간,42
광진구,강력범죄,유사강간,9
광진구,강력범죄,강제추행,188
광진구,강력범죄,기타 강간 강제추행등,0
광진구,강력범죄,방화,5
광진구,절도범죄,절도범죄,1619
광진구,폭력범죄,상해,111
광진구,폭력범죄,폭행,842
광진구,폭력범죄,체포감금,4
광진구,폭력범죄,협박,137
광진구,폭력범죄,약취 유인,1
광진구,폭력범죄,폭력행위등,44
광진구,폭력범죄,공갈,45
광진구,폭력범죄,손괴,375
광진구,지능범죄,직무유기,14
광진구,지능범죄,직권남용,24
광진구,지능범죄,증수뢰,2
광진구,지능범죄,통화,3
광진구,지능범죄,문서 인장,61
광진구,지능범죄,유가증권인지,1
광진구,지능범죄,사기,2075
광진구,지능범죄,횡령,750
광진구,지능범죄,배임,22
광진구,풍속범죄,성풍속범죄,173
광진구,풍속범죄,도박범죄,31
광진구,특별경제범죄,특별경제범죄,473
광진구,마약범죄,마약범죄,100
광진구,보건범죄,보건범죄,53
광진구,환경범죄,환경범죄,0
광진구,교통범죄,교통범죄,850
광진구,노동범죄,노동범죄,1
광진구,안보범죄,안보범죄,0
광진구,선거범죄,선거범죄,5
광진구,병역범죄,병역범죄,65
광진구,기타범죄,기타범죄,1556
동대문,강력범죄,살인기수,2
동대문,강력범죄,살인미수등,3
동대문,강력범죄,강도,4
동대문,강력범죄,강간,36
동대문,강력범죄,유사강간,5
동대문,강력범죄,강제추행,107
동대문,강력범죄,기타 강간 강제추행등,1
동대문,강력범죄,방화,11
동대문,절도범죄,절도범죄,1278
동대문,폭력범죄,상해,101
동대문,폭력범죄,폭행,839
동대문,폭력범죄,체포감금,11
동대문,폭력범죄,협박,170
동대문,폭력범죄,약취 유인,4
동대문,폭력범죄,폭력행위등,29
동대문,폭력범죄,공갈,53
동대문,폭력범죄,손괴,317
동대문,지능범죄,직무유기,13
동대문,지능범죄,직권남용,13
동대문,지능범죄,증수뢰,3
동대문,지능범죄,통화,8
동대문,지능범죄,문서 인장,70
동대문,지능범죄,유가증권인지,3
동대문,지능범죄,사기,2074
동대문,지능범죄,횡령,891
동대문,지능범죄,배임,28
동대문,풍속범죄,성풍속범죄,140
동대문,풍속범죄,도박범죄,19
동대문,특별경제범죄,특별경제범죄,469
동대문,마약범죄,마약범죄,102
동대문,보건범죄,보건범죄,94
동대문,환경범죄,환경범죄,1
동대문,교통범죄,교통범죄,1478
동대문,노동범죄,노동범죄,1
동대문,안보범죄,안보범죄,0
동대문,선거범죄,선거범죄,0
동대문,병역범죄,병역범죄,53
동대문,기타범죄,기타범죄,1454
중랑구,강력범죄,살인기수,4
중랑구,강력범죄,살인미수등,2
중랑구,강력범죄,강도,2
중랑구,강력범죄,강간,40
중랑구,강력범죄,유사강간,9
중랑구,강력범죄,강제추행,118
중랑구,강력범죄,기타 강간 강제추행등,0
중랑구,강력범죄,방화,4
중랑구,절도범죄,절도범죄,1400
중랑구,폭력범죄,상해,121
중랑구,폭력범죄,폭행,913
중랑구,폭력범죄,체포감금,5
중랑구,폭력범죄,협박,200
중랑구,폭력범죄,약취 유인,4
중랑구,폭력범죄,폭력행위등,36
중랑구,폭력범죄,공갈,39
중랑구,폭력범죄,손괴,428
중랑구,지능범죄,직무유기,4
중랑구,지능범죄,직권남용,6
중랑구,지능범죄,증수뢰,1
중랑구,지능범죄,통화,2
중랑구,지능범죄,문서 인장,60
중랑구,지능범죄,유가증권인지,0
중랑구,지능범죄,사기,2003
중랑구,지능범죄,횡령,475
중랑구,지능범죄,배임,6
중랑구,풍속범죄,성풍속범죄,122
중랑구,풍속범죄,도박범죄,36
중랑구,특별경제범죄,특별경제범죄,407
중랑구,마약범죄,마약범죄,86
중랑구,보건범죄,보건범죄,56
중랑구,환경범죄,환경범죄,1
중랑구,교통범죄,교통범죄,1169
중랑구,노동범죄,노동범죄,1
중랑구,안보범죄,안보범죄,1
중랑구,선거범죄,선거범죄,3
중랑구,병역범죄,병역범죄,57
중랑구,기타범죄,기타범죄,1715
성북구,강력범죄,살인기수,1
성북구,강력범죄,살인미수등,0
성북구,강력범죄,강도,1
성북구,강력범죄,강간,25
성북구,강력범죄,유사강간,7
성북구,강력범죄,강제추행,105
성북구,강력범죄,기타 강간 강제추행등,2
성북구,강력범죄,방화,7
성북구,절도범죄,절도범죄,982
성북구,폭력범죄,상해,74
성북구,폭력범죄,폭행,731
성북구,폭력범죄,체포감금,5
성북구,폭력범죄,협박,131
성북구,폭력범죄,약취 유인,0
성북구,폭력범죄,폭력행위등,30
성북구,폭력범죄,공갈,43
성북구,폭력범죄,손괴,268
성북구,지능범죄,직무유기,2
성북구,지능범죄,직권남용,0
성북구,지능범죄,증수뢰,0
성북구,지능범죄,통화,4
성북구,지능범죄,문서 인장,61
성북구,지능범죄,유가증권인지,1
성북구,지능범죄,사기,2209
성북구,지능범죄,횡령,415
성북구,지능범죄,배임,13
성북구,풍속범죄,성풍속범죄,173
성북구,풍속범죄,도박범죄,20
성북구,특별경제범죄,특별경제범죄,344
성북구,마약범죄,마약범죄,78
성북구,보건범죄,보건범죄,49
성북구,환경범죄,환경범죄,0
성북구,교통범죄,교통범죄,895
성북구,노동범죄,노동범죄,1
성북구,안보범죄,안보범죄,2
성북구,선거범죄,선거범죄,0
성북구,병역범죄,병역범죄,42
성북구,기타범죄,기타범죄,1409
강북구,강력범죄,살인기수,2
강북구,강력범죄,살인미수등,5
강북구,강력범죄,강도,1
강북구,강력범죄,강간,21
강북구,강력범죄,유사강간,9
강북구,강력범죄,강제추행,108
강북구,강력범죄,기타 강간 강제추행등,1
강북구,강력범죄,방화,4
강북구,절도범죄,절도범죄,917
강북구,폭력범죄,상해,107
강북구,폭력범죄,폭행,817
강북구,폭력범죄,체포감금,4
강북구,폭력범죄,협박,134
강북구,폭력범죄,약취 유인,3
강북구,폭력범죄,폭력행위등,55
강북구,폭력범죄,공갈,62
강북구,폭력범죄,손괴,252
강북구,지능범죄,직무유기,5
강북구,지능범죄,직권남용,10
강북구,지능범죄,증수뢰,1
강북구,지능범죄,통화,0
강북구,지능범죄,문서 인장,71
강북구,지능범죄,유가증권인지,0
강북구,지능범죄,사기,1739
강북구,지능범죄,횡령,295
강북구,지능범죄,배임,14
강북구,풍속범죄,성풍속범죄,122
강북구,풍속범죄,도박범죄,24
강북구,특별경제범죄,특별경제범죄,342
강북구,마약범죄,마약범죄,93
강북구,보건범죄,보건범죄,58
강북구,환경범죄,환경범죄,1
강북구,교통범죄,교통범죄,926
강북구,노동범죄,노동범죄,2
강북구,안보범죄,안보범죄,2
강북구,선거범죄,선거범죄,1
강북구,병역범죄,병역범죄,53
강북구,기타범죄,기타범죄,1787
노원구,강력범죄,살인기수,2
노원구,강력범죄,살인미수등,5
노원구,강력범죄,강도,4
노원구,강력범죄,강간,10
노원구,강력범죄,유사강간,4
노원구,강력범죄,강제추행,74
노원구,강력범죄,기타 강간 강제추행등,0
노원구,강력범죄,방화,9
노원구,절도범죄,절도범죄,997
노원구,폭력범죄,상해,72
노원구,폭력범죄,폭행,467
노원구,폭력범죄,체포감금,4
노원구,폭력범죄,협박,74
노원구,폭력범죄,약취 유인,2
노원구,폭력범죄,폭력행위등,19
노원구,폭력범죄,공갈,29
노원구,폭력범죄,손괴,160
노원구,지능범죄,직무유기,5
노원구,지능범죄,직권남용,5
노원구,지능범죄,증수뢰,0
노원구,지능범죄,통화,2
노원구,지능범죄,문서 인장,39
노원구,지능범죄,유가증권인지,0
노원구,지능범죄,사기,1291
노원구,지능범죄,횡령,299
노원구,지능범죄,배임,7
노원구,풍속범죄,성풍속범죄,95
노원구,풍속범죄,도박범죄,12
노원구,특별경제범죄,특별경제범죄,235
노원구,마약범죄,마약범죄,68
노원구,보건범죄,보건범죄,32
노원구,환경범죄,환경범죄,4
노원구,교통범죄,교통범죄,468
노원구,노동범죄,노동범죄,0
노원구,안보범죄,안보범죄,1
노원구,선거범죄,선거범죄,1
노원구,병역범죄,병역범죄,44
노원구,기타범죄,기타범죄,993
은평구,강력범죄,살인기수,2
은평구,강력범죄,살인미수등,5
은평구,강력범죄,강도,3
은평구,강력범죄,강간,30
은평구,강력범죄,유사강간,7
은평구,강력범죄,강제추행,112
은평구,강력범죄,기타 강간 강제추행등,1
은평구,강력범죄,방화,10
은평구,절도범죄,절도범죄,1612
은평구,폭력범죄,상해,118
은평구,폭력범죄,폭행,920
은평구,폭력범죄,체포감금,5
은평구,폭력범죄,협박,170
은평구,폭력범죄,약취 유인,2
은평구,폭력범죄,폭력행위등,37
은평구,폭력범죄,공갈,34
은평구,폭력범죄,손괴,425
은평구,지능범죄,직무유기,5
은평구,지능범죄,직권남용,17
은평구,지능범죄,증수뢰,4
은평구,지능범죄,통화,4
은평구,지능범죄,문서 인장,62
은평구,지능범죄,유가증권인지,1
은평구,지능범죄,사기,2478
은평구,지능범죄,횡령,445
은평구,지능범죄,배임,23
은평구,풍속범죄,성풍속범죄,159
은평구,풍속범죄,도박범죄,23
은평구,특별경제범죄,특별경제범죄,454
은평구,마약범죄,마약범죄,59
은평구,보건범죄,보건범죄,63
은평구,환경범죄,환경범죄,0
은평구,교통범죄,교통범죄,1003
은평구,노동범죄,노동범죄,0
은평구,안보범죄,안보범죄,0
은평구,선거범죄,선거범죄,0
은평구,병역범죄,병역범죄,57
은평구,기타범죄,기타범죄,1555
서대문구,강력범죄,살인기수,0
서대문구,강력범죄,살인미수등,5
서대문구,강력범죄,강도,0
서대문구,강력범죄,강간,46
서대문구,강력범죄,유사강간,12
서대문구,강력범죄,강제추행,97
서대문구,강력범죄,기타 강간 강제추행등,1
서대문구,강력범죄,방화,4
서대문구,절도범죄,절도범죄,1190
서대문구,폭력범죄,상해,74
서대문구,폭력범죄,폭행,495
서대문구,폭력범죄,체포감금,1
서대문구,폭력범죄,협박,114
서대문구,폭력범죄,약취 유인,1
서대문구,폭력범죄,폭력행위등,32
서대문구,폭력범죄,공갈,68
서대문구,폭력범죄,손괴,241
서대문구,지능범죄,직무유기,6
서대문구,지능범죄,직권남용,9
서대문구,지능범죄,증수뢰,1
서대문구,지능범죄,통화,4
서대문구,지능범죄,문서 인장,38
서대문구,지능범죄,유가증권인지,0
서대문구,지능범죄,사기,1518
서대문구,지능범죄,횡령,486
서대문구,지능범죄,배임,16
서대문구,풍속범죄,성풍속범죄,110
서대문구,풍속범죄,도박범죄,14
서대문구,특별경제범죄,특별경제범죄,297
서대문구,마약범죄,마약범죄,52
서대문구,보건범죄,보건범죄,34
서대문구,환경범죄,환경범죄,3
서대문구,교통범죄,교통범죄,692
서대문구,노동범죄,노동범죄,3
서대문구,안보범죄,안보범죄,12
서대문구,선거범죄,선거범죄,1
서대문구,병역범죄,병역범죄,24
서대문구,기타범죄,기타범죄,1115
마포구,강력범죄,살인기수,2
마포구,강력범죄,살인미수등,1
